id,id_map
38033_AM,38
3803810,38
38020_AM,38
38049_AM,38
38015_AM,38
3800601,38
38035_AM,38
38011,38
38017,38
38019,38
38018,38
38010,38
38009,38
38008,38
38005,38
38001,38
38013_AM,38
38036_AM,38
38037,38
38032,38
38031,38
38034,38
38039,38
38042,38
38041,38
38045_AM,38
3803807_AD,38
3803802,38
3803803,38
3803809,38
3803804,38
3803801,38
3803805,38
3803806,38
38025,38
38028,38
38027,38
38022,38
38024,38
3803811,38
3803812,38
3802303,38
38051,38
38043,38
38046,38
38048,38
38040,38
3802304,38
3802305,38
3802306,38
3802301,38
3802302,38
38029_AM,38
38053_AM,38
38004,38
38026,38
2305004,23
2305002,23
2305006,23
2305003,23
2305005,23
2305009,23
2305001,23
23026_AM,23
2305501_AD,23
23058,23
23053,23
23079_AM,23
23088_AM,23
23010,23
23059_AM,23
23096_AM,23
23904_AM,23
23025_AM,23
23014_AM,23
2305007_AD,23
23006_AM,23
23044_AM,23
2305507,23
23018_AM,23
23082_AM,23
23066,23
23063_AM,23
23073_AM,23
23069_AM,23
2305506,23
2305504,23
2305505,23
23094_AM,23
23012_AM,23
23005,23
23003,23
23002,23
23009,23
23093_AM,23
23038,23
23024,23
23028,23
23061_AM,23
23039_AM,23
2305502_AD,23
23903_AM,23
23060_AM,23
23086_AM,23
23095,23
23099,23
23092,23
23067_AM,23
23087,23
23902_AM,23
23070_AM,23
23074_AM,23
23905_AM,23
23097_AM,23
10146_AM,10
10020_AM,10
10148,10
10087_AM,10
10205_AM,10
10109_AM,10
10216_AM,10
10021,10
10203,10
10110_AM,10
10035_AM,10
10061_AM,10
10049_AM,10
10184_AM,10
10006_AM,10
10186_AM,10
10121,10
1003704,10
1003705,10
1003702,10
10140_AM,10
10147_AM,10
10096_AM,10
10010_AM,10
10064_AM,10
10113_AM,10
10195_AM,10
10177_AM,10
10105_AM,10
10104,10
10089_AM,10
1003706_AD,10
10067,10
10018_AM,10
10115,10
10019_AM,10
10116_AM,10
10180_AM,10
10128,10
1003701,10
10127,10
1003703,10
10175_AM,10
10212_AM,10
10050_AM,10
10131,10
10189_AM,10
1913001,19
19156_AM,19
19160_AM,19
19190_AM,19
19171,19
1913004,19
1913002,19
1913005,19
1913003,19
19053_AM,19
19086_AM,19
19071_AM,19
19024,19
19319,19
19245_AM,19
19058_AM,19
19220_AM,19
19326_AM,19
19151_AM,19
19274_AM,19
19192_AM,19
19257_AM,19
19331_AM,19
19046_AM,19
19280_AM,19
22117_AM,22
22213_AM,22
22254_AM,22
22137_AM,22
22204_AM,22
22060_AM,22
22225_AM,22
22048,22
22021_AM,22
22199,22
22039_AM,22
2212507,22
2212506,22
2212502,22
2212505,22
2212501,22
2212504,22
22084_AM,22
2212503,22
22053_AM,22
22158,22
22901_AM,22
22228_AM,22
22130,22
22116_AM,22
22054_AM,22
22907_AM,22
22061,22
22112_AM,22
2212508,22
22017_AM,22
06094_AM,06
06109_AM,06
06025,06
06036_AM,06
06154_AM,06
06162_AM,06
06019_AM,06
06103,06
0601507,06
0601501,06
06060_AM,06
06095_AM,06
06117_AM,06
06006,06
06002,06
06108_AM,06
06028_AM,06
06128_AM,06
06121_AM,06
06012_AM,06
06070_AM,06
06122,06
06011,06
06153,06
06158,06
06066_AM,06
06127_AM,06
06120_AM,06
0601503,06
0601505,06
0601508,06
0601509,06
0601502,06
06149,06
0601506,06
0601504,06
06113_AM,06
06093_AM,06
06088_AM,06
0601510,06
06072_AM,06
06016_AM,06
06155_AM,06
06022_AM,06
06005_AM,06
06125_AM,06
0608302_AD,06
06044_AM,06
06091_AM,06
06063_AM,06
06055_AM,06
06074_AM,06
06014_AM,06
06023_AM,06
06069_AM,06
06052_AM,06
0608303,06
0608301,06
0608304,06
0608306,06
06123_AM,06
06054,06
06085_AM,06
06050_AM,06
2801302,28
2801301,28
2801303,28
2801304,28
28151_AM,28
28180,28
28032_AM,28
2811301,28
2811302,28
28181,28
2805806,28
2805802,28
2805805,28
2805809,28
2805808,28
2805803,28
2805801,28
2805807,28
28162_AM,28
2805804,28
28060_AM,28
2807407,28
2807402,28
2807406,28
2807404,28
2807401,28
2807405,28
2812301,28
28901_AM,28
28133_AM,28
28164,28
28091,28
28086,28
2800501,28
28084,28
28083,28
28089,28
28087,28
2800502,28
2800505,28
2800503,28
2800504,28
28082,28
28903,28
28096,28
28090,28
28045,28
28047,28
2816102,28
28110_AM,28
2816101,28
28068,28
28061,28
2800703,28
2800701,28
2800704,28
2807920,28
28073,28
2807921,28
28075,28
28072,28
28104,28
28100,28
28108,28
